                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |      32726 |      36604 |      35551 |      32711 |      32611 |      35546 |      34546 |      34468 |      33401 |      31546 |      30573 |      29430 |      33429 |      33429 |      32929 |      32429 |      32429 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254
  IPC                                |       0.16 |       0.18 |       0.17 |       0.16 |       0.16 |       0.17 |       0.17 |       0.17 |       0.16 |       0.15 |       0.15 |       0.14 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127
  Idle time (ns)                     |      63233 |      90958 |      91924 |      92203 |      91633 |      91972 |      92103 |      91851 |      92778 |      92183 |      92149 |      96328 |      94476 |      94260 |      94702 |      95087 |      93029 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127
  Idle time (%)                      |      61.3% |      88.2% |      89.1% |      89.4% |      88.9% |      89.2% |      89.3% |      89.1% |      90.0% |      89.4% |      89.4% |      93.4% |      91.6% |      91.4% |      91.8% |      92.2% |      90.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       4276 |       1817 |       1678 |       1586 |       1587 |       1564 |       1556 |       1545 |       1415 |       1454 |       1329 |       1205 |       1315 |       1315 |       1311 |       1306 |       1306 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |        328 |         82 |         70 |         78 |         77 |         58 |         66 |         65 |         53 |         68 |         57 |         27 |         17 |         17 |         21 |         26 |         26 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      7.12% |      4.32% |      4.00% |      4.69% |      4.63% |      3.58% |      4.07% |      4.04% |      3.61% |      4.47% |      4.11% |      2.19% |      1.28% |      1.28% |      1.58% |      1.95% |      1.95% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |      10.02 |       2.24 |       1.97 |       2.38 |       2.36 |       1.63 |       1.91 |       1.89 |       1.59 |       2.16 |       1.86 |       0.92 |       0.51 |       0.51 |       0.64 |       0.80 |       0.80 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5033 |       5019 |       4898 |       4708 |       4708 |       4793 |       4793 |       4786 |       4671 |       4593 |       4478 |       4356 |       4556 |       4556 |       4556 |       4556 |       4556 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         30 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         16 |         16 |         16 |         16 |         16 |         16 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.60% |      0.48% |      0.49% |      0.51% |      0.51% |      0.50% |      0.50% |      0.50% |      0.51% |      0.52% |      0.54% |      0.37% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.92 |       0.66 |       0.68 |       0.73 |       0.74 |       0.68 |       0.69 |       0.70 |       0.72 |       0.76 |       0.79 |       0.54 |       0.48 |       0.48 |       0.49 |       0.49 |       0.49 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15388 |      13042 |      12825 |      11936 |      11736 |      12726 |      12226 |      12213 |      11803 |      11326 |      10919 |      10496 |      11896 |      11896 |      11596 |      11396 |      11396 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         88 |         44 |         43 |         42 |         47 |         41 |         41 |         40 |         38 |         40 |         36 |         18 |         19 |         19 |         19 |         19 |         19 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.57% |      0.34% |      0.34% |      0.35% |      0.40% |      0.32% |      0.34% |      0.33% |      0.32% |      0.35% |      0.33% |      0.17% |      0.16% |      0.16% |      0.16% |      0.17% |      0.17% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.69 |       1.20 |       1.21 |       1.28 |       1.44 |       1.15 |       1.19 |       1.16 |       1.14 |       1.27 |       1.18 |       0.61 |       0.57 |       0.57 |       0.58 |       0.59 |       0.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        118 |         68 |         67 |         66 |         71 |         65 |         65 |         64 |         62 |         64 |         60 |         34 |         35 |         35 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         97 |         68 |         67 |         66 |         66 |         65 |         65 |         64 |         62 |         64 |         60 |         34 |         35 |         35 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     82.20% |    100.00% |    100.00% |    100.00% |     92.96% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.96 |       1.86 |       1.88 |       2.02 |       2.02 |       1.83 |       1.88 |       1.86 |       1.86 |       2.03 |       1.96 |       1.16 |       1.05 |       1.05 |       1.06 |       1.08 |       1.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5033 |       5019 |       4898 |       4708 |       4708 |       4793 |       4793 |       4786 |       4671 |       4593 |       4478 |       4356 |       4556 |       4556 |       4556 |       4556 |       4556 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        239 |        131 |        127 |        129 |        129 |        127 |        127 |        126 |        122 |        125 |        125 |         70 |         72 |         72 |         72 |         72 |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      4.75% |      2.61% |      2.59% |      2.74% |      2.74% |      2.65% |      2.65% |      2.63% |      2.61% |      2.72% |      2.79% |      1.61% |      1.58% |      1.58% |      1.58% |      1.58% |      1.58% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       7.30 |       3.58 |       3.57 |       3.94 |       3.96 |       3.57 |       3.68 |       3.66 |       3.65 |       3.96 |       4.09 |       2.38 |       2.15 |       2.15 |       2.19 |       2.22 |       2.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15388 |      13042 |      12825 |      11936 |      11736 |      12726 |      12226 |      12213 |      11803 |      11326 |      10919 |      10496 |      11896 |      11896 |      11596 |      11396 |      11396 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        613 |        276 |        271 |        262 |        262 |        256 |        256 |        256 |        240 |        253 |        241 |        153 |        156 |        155 |        156 |        157 |        138 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      3.98% |      2.12% |      2.11% |      2.20% |      2.23% |      2.01% |      2.09% |      2.10% |      2.03% |      2.23% |      2.21% |      1.46% |      1.31% |      1.30% |      1.35% |      1.38% |      1.21% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      18.73 |       7.54 |       7.62 |       8.01 |       8.03 |       7.20 |       7.41 |       7.43 |       7.19 |       8.02 |       7.88 |       5.20 |       4.67 |       4.64 |       4.74 |       4.84 |       4.26 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        886 |        411 |        401 |        394 |        396 |        387 |        387 |        386 |        366 |        383 |        370 |        225 |        230 |        229 |        230 |        231 |        212 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        716 |        183 |        161 |        166 |        258 |        194 |        165 |        174 |        219 |        223 |        194 |        106 |        116 |        115 |        110 |        101 |        210 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     80.81% |     44.53% |     40.15% |     42.13% |     65.15% |     50.13% |     42.64% |     45.08% |     59.84% |     58.22% |     52.43% |     47.11% |     50.43% |     50.22% |     47.83% |     43.72% |     99.06% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
