                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |      32726 |      36604 |      35551 |      32711 |      31468 |      34404 |      34546 |      34546 |      33402 |      30573 |      30573 |      29430 |      33429 |      33429 |      32929 |      32429 |      32429 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254 |     206254
  IPC                                |       0.16 |       0.18 |       0.17 |       0.16 |       0.15 |       0.17 |       0.17 |       0.17 |       0.16 |       0.15 |       0.15 |       0.14 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127
  Idle time (ns)                     |      63351 |      90664 |      91524 |      91632 |      92094 |      91973 |      92719 |      92649 |      92165 |      92086 |      92009 |      96395 |      94522 |      94144 |      94687 |      95167 |      92805 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127 |     103127
  Idle time (%)                      |      61.4% |      87.9% |      88.7% |      88.9% |      89.3% |      89.2% |      89.9% |      89.8% |      89.4% |      89.3% |      89.2% |      93.5% |      91.7% |      91.3% |      91.8% |      92.3% |      90.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       4275 |       1817 |       1678 |       1587 |       1444 |       1424 |       1556 |       1556 |       1416 |       1329 |       1329 |       1205 |       1315 |       1315 |       1311 |       1307 |       1307 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |        329 |         82 |         70 |         77 |         66 |         44 |         66 |         66 |         52 |         57 |         57 |         27 |         17 |         17 |         21 |         25 |         25 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      7.15% |      4.32% |      4.00% |      4.63% |      4.37% |      3.00% |      4.07% |      4.07% |      3.54% |      4.11% |      4.11% |      2.19% |      1.28% |      1.28% |      1.58% |      1.88% |      1.88% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
