                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |      32726 |      36604 |      35551 |      32711 |      31468 |      35546 |      34546 |      34468 |      33573 |      30495 |      31546 |      30404 |      33429 |      33429 |      32929 |      32429 |      32429 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997 |     205997
  IPC                                |       0.16 |       0.18 |       0.17 |       0.16 |       0.15 |       0.17 |       0.17 |       0.17 |       0.16 |       0.15 |       0.15 |       0.15 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999
  Idle time (ns)                     |      63563 |      90596 |      91588 |      91718 |      91922 |      92173 |      92286 |      92455 |      91296 |      91837 |      91366 |      94273 |      94308 |      93951 |      94877 |      94718 |      92738 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999 |     102999
  Idle time (%)                      |      61.7% |      88.0% |      88.9% |      89.0% |      89.2% |      89.5% |      89.6% |      89.8% |      88.6% |      89.2% |      88.7% |      91.5% |      91.6% |      91.2% |      92.1% |      92.0% |      90.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       4278 |       1816 |       1676 |       1586 |       1443 |       1564 |       1555 |       1545 |       1431 |       1321 |       1453 |       1314 |       1315 |       1315 |       1311 |       1307 |       1307 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |        326 |         83 |         72 |         78 |         67 |         58 |         67 |         65 |         55 |         53 |         69 |         54 |         17 |         17 |         21 |         25 |         25 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      7.08% |      4.37% |      4.12% |      4.69% |      4.44% |      3.58% |      4.13% |      4.04% |      3.70% |      3.86% |      4.53% |      3.95% |      1.28% |      1.28% |      1.58% |      1.88% |      1.88% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       9.96 |       2.27 |       2.03 |       2.38 |       2.13 |       1.63 |       1.94 |       1.89 |       1.64 |       1.74 |       2.19 |       1.78 |       0.51 |       0.51 |       0.64 |       0.77 |       0.77 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5033 |       5019 |       4898 |       4708 |       4586 |       4793 |       4793 |       4786 |       4678 |       4471 |       4593 |       4471 |       4556 |       4556 |       4556 |       4556 |       4556 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         30 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         16 |         16 |         16 |         16 |         16 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.60% |      0.48% |      0.49% |      0.51% |      0.52% |      0.50% |      0.50% |      0.50% |      0.51% |      0.54% |      0.52% |      0.54% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.92 |       0.66 |       0.68 |       0.73 |       0.76 |       0.68 |       0.69 |       0.70 |       0.71 |       0.79 |       0.76 |       0.79 |       0.48 |       0.48 |       0.49 |       0.49 |       0.49 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15388 |      13042 |      12825 |      11936 |      11313 |      12726 |      12226 |      12213 |      11819 |      10906 |      11326 |      10903 |      11896 |      11896 |      11596 |      11396 |      11396 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         85 |         44 |         43 |         42 |         39 |         42 |         41 |         40 |         37 |         38 |         40 |         37 |         19 |         19 |         19 |         19 |         19 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.55% |      0.34% |      0.34% |      0.35% |      0.34% |      0.33% |      0.34% |      0.33% |      0.31% |      0.35% |      0.35% |      0.34% |      0.16% |      0.16% |      0.16% |      0.17% |      0.17% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.60 |       1.20 |       1.21 |       1.28 |       1.24 |       1.18 |       1.19 |       1.16 |       1.10 |       1.25 |       1.27 |       1.22 |       0.57 |       0.57 |       0.58 |       0.59 |       0.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        115 |         68 |         67 |         66 |         63 |         66 |         65 |         64 |         61 |         62 |         64 |         61 |         35 |         35 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         97 |         68 |         67 |         66 |         63 |         65 |         65 |         64 |         61 |         62 |         64 |         61 |         35 |         35 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     84.35% |    100.00% |    100.00% |    100.00% |    100.00% |     98.48% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.96 |       1.86 |       1.88 |       2.02 |       2.00 |       1.83 |       1.88 |       1.86 |       1.82 |       2.03 |       2.03 |       2.01 |       1.05 |       1.05 |       1.06 |       1.08 |       1.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5033 |       5019 |       4898 |       4708 |       4586 |       4793 |       4793 |       4786 |       4678 |       4471 |       4593 |       4471 |       4556 |       4556 |       4556 |       4556 |       4556 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        239 |        131 |        127 |        129 |        124 |        127 |        127 |        126 |        127 |        124 |        125 |        120 |         72 |         72 |         72 |         72 |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
